vid,video_path,audio_path,bbox,asr,caption
2Fp61z5LVbY_1920x1080_full_video_063_B,videos/2Fp61z5LVbY_1920x1080_full_video_063.mp4,audios/2Fp61z5LVbY_1920x1080_full_video_063.wav,"0,0,1,1"," when kids graduate from high school and they can barely read. And it's like, this is really giving up. This is giving up on kids.","The person in the video moves their left hand slightly to the right while speaking, seemingly to emphasize a point or make a gesture. Their right hand remains relatively still, with occasional subtle movements that are not prominent. Overall, his movements appear natural and fluid, without any obvious exaggeration or dramatic changes. The person says, <S> when kids graduate from high school and they can barely read. And it's like, this is really giving up. This is giving up on kids.<E> <AUDCAP>A male speaker, likely in his 20s or 30s, with a standard American accent and a medium-pitched voice, expresses frustration. His prosody features a noticeable rise in pitch at the end of phrases, conveying incredulity. He speaks at a moderate, slightly deliberate pace with strong emphasis on words like ""giving up,"" indicating exasperation and concern about youth literacy.<ENDAUDCAP>
"
24G70hqvu8I_1920x1080_full_video_021_B,videos/24G70hqvu8I_1920x1080_full_video_021.mp4,audios/24G70hqvu8I_1920x1080_full_video_021.wav,"0,0,1,1"," It works as I say stuff that is the wrong thing to say. I hear the resistance to it, and then I work with it, and work with it. And it takes a few shows.","The person in the video raises their left hand, spreading their fingers, and then turns their palm up, seemingly emphasizing a point or explaining something. He then lowers his left hand and raises his right hand, spreading his fingers and turning his palm up again to reinforce another point. Following this, he lowers his right hand and raises his left hand, spreading his fingers and turning his palm up, continuing with his hand gestures. Throughout the process, his movements are smooth and forceful, indicating that he is actively communicating with the audience. The person says, <S> It works as I say stuff that is the wrong thing to say. I hear the resistance to it, and then I work with it, and work with it. And it takes a few shows.<E> <AUDCAP>A male speaker, likely middle-aged, speaks in a relaxed, conversational tone with a standard American accent and medium pitch. His prosody is natural and varied, with clear stress on key words like ""wrong"" and ""resistance."" He sounds calmly explanatory, conveying a sense of thoughtful pondering without strong emotion. The speech rate is moderate and steady, with slight pauses for emphasis, suggesting a deliberate and reflective speaking style.<ENDAUDCAP>
"
2E76f63Mek0_1920x1080_full_video_030_B,videos/2E76f63Mek0_1920x1080_full_video_030.mp4,audios/2E76f63Mek0_1920x1080_full_video_030.wav,"0,0,1,1"," not to just be distracted. That's a normal political tactic. No, when Trump does it because he's abusive and repulsive and hurtful, it calls on our conscience and demands that we act.","The person in the video is seated on a blue sofa with both hands initially spread out, palms facing up, and fingers slightly curved. Subsequently, the left hand gradually moves to the right, followed by the right hand moving to the right as well, with the palms facing each other and fingers interlocked. Then, the left hand moves back to the left, and the right hand follows suit, with the palms facing each other and fingers interlocked again. Finally, both hands are clenched into fists and placed in front of the body, with fingers tightly gripping. Throughout the entire process, the movements of both hands are smooth and rhythmic. The person says, <S> not to just be distracted. That's a normal political tactic. No, when Trump does it because he's abusive and repulsive and hurtful, it calls on our conscience and demands that we act.<E> <AUDCAP>A female speaker with a Mid-Atlantic accent delivers a measured, assertive statement. Her voice is medium-pitched and clear, with a steady, deliberate rhythm. There is a controlled emphasis on specific words, conveying seriousness and an underlying sense of exasperation. Her prosody maintains a formal, almost academic cadence, with a slightly elevated pitch and intensity reserved for critical descriptors. The speech rate is slow and purposeful, creating a focused and poignant effect.<ENDAUDCAP>
"
2BxoCHW9OiM_1920x1080_full_video_209_B,videos/2BxoCHW9OiM_1920x1080_full_video_209.mp4,audios/2BxoCHW9OiM_1920x1080_full_video_209.wav,"0,0,1,1"," Now, what I'm hearing you say, correct me if I'm wrong, that you did a lot of the same things physically. You ate a lot of the same food. You trained in a similar way.","The person in the video is seated at a table, facing the camera. Initially, his right hand raises, with fingers spread out, then bends inward, followed by an expansion, making an ""OK"" gesture. Subsequently, he lowers his right hand, and his left hand begins to move. It starts with the palm facing upward, fingers slightly curved, then gradually expands, finally forming a fist. At the same time, his head slightly turns to the left, and his eyes look to the left. Then, his right hand raises again, with fingers spread out, then bends inward, followed by an expansion, making an ""OK"" gesture. Finally, he lowers his right hand, and his left hand continues to move, with the palm facing upward, fingers slightly curved, then gradually expanding, finally forming a fist. Throughout the process, his body remains relatively stable, with only the hand movements being more noticeable. The person says, <S> Now, what I'm hearing you say, correct me if I'm wrong, that you did a lot of the same things physically. You ate a lot of the same food. You trained in a similar way.<E> <AUDCAP>A male speaker, likely middle-aged, delivers a conversational statement with a measured, calm tone. His voice is of low-to-medium pitch and features a standard American accent. The prosody is even and measured, with a normal speech rate. He sounds inquisitive and seeks confirmation, indicating a collaborative discussion rather than an assertive monologue.<ENDAUDCAP>
"
24hTFtYLXQY_1920x1080_full_video_005_A,videos/24hTFtYLXQY_1920x1080_full_video_005.mp4,audios/24hTFtYLXQY_1920x1080_full_video_005.wav,"0,0,1,1"," concise and easy way to identify in general the targeted action of certain anabolics and how they impact athletic performance, body composition, and so on.","The person in the video slightly turns his head to the left while speaking, then returns it to the center. His mouth is open as if he is talking or explaining something. His shoulders remain relatively stable with no noticeable movement. His hands may be positioned on either side of his body, but the specific gestures and actions cannot be fully determined from this angle. Overall, his movements are mild and primarily focused on his head and mouth area. The person says, <S> concise and easy way to identify in general the targeted action of certain anabolics and how they impact athletic performance, body composition, and so on.<E> <AUDCAP>The speaker is a male, likely young adult to middle-aged, with a standard American English accent. His voice has a medium-low pitch and a clear, steady articulation. The prosody features a moderate rhythm and even intonation, conveying a calm and informative tone. The speech is delivered at a regular, deliberate pace, suggesting educational intent. There is no discernible emotional inflection; the mood is neutral and objective, independent of emotional affect.<ENDAUDCAP>
"
24D_FLuRNQc_1920x1080_full_video_019_B,videos/24D_FLuRNQc_1920x1080_full_video_019.mp4,audios/24D_FLuRNQc_1920x1080_full_video_019.wav,"0,0,1,1"," So if you want Coke and whatever, that's who pays me. I wear the people who pay me. I'm just not jumping around wearing people's colors is cool.","The person in the video is seated on a chair, leaning slightly forward with their right hand resting on the table and their left hand hanging naturally. As the conversation progresses, his right hand begins to rise rhythmically, fingers spread out, as if emphasizing a point or expressing an emotion. Then, he lowers his right hand, and his left hand gradually rises, palm facing up, suggesting further explanation or elaboration. Throughout the process, his head moves slightly, and his eyes look to one side, possibly responding to the other party's questions or viewpoints. The person says, <S> So if you want Coke and whatever, that's who pays me. I wear the people who pay me. I'm just not jumping around wearing people's colors is cool.<E> <AUDCAP>A middle-aged to older adult male with a deep, resonant voice and a standard General American accent delivers the speech. His pitch is consistently low. The prosody is animated and expressive, with varied intonation and emphasis. He speaks at a moderate, conversational pace, punctuated by hearty laughter. His emotional tone is jovial, amused, and engaging, conveying lightheartedness.<ENDAUDCAP>
"
2A6Pl1Scll8_1920x1080_full_video_017_B,videos/2A6Pl1Scll8_1920x1080_full_video_017.mp4,audios/2A6Pl1Scll8_1920x1080_full_video_017.wav,"0,0,1,1"," kind of politically correct woke world. But the truth is, young men, I've never known a young lad who didn't want that challenge.","The person in the video is performing a series of hand movements. His right hand enters from the right side of the frame, with his fingers slightly curved, as if making a gesture or operating something. Then, he raises his hand, palm facing up, and gently spreads his fingers, seemingly emphasizing a point or showcasing something. Following this, his hand moves downward again, with his fingers once more bending, possibly adjusting headphones or another object. Throughout the process, his left hand remains still, showing no significant movement. The person says, <S> kind of politically correct woke world. But the truth is, young men, I've never known a young lad who didn't want that challenge.<E> <AUDCAP>The speaker sounds like an older adult male with a standard American accent. His voice has a medium-low pitch and a steady, measured rhythm with clear articulation. The prosody is formal and declarative, using slight emphasis on key words to convey conviction. The overall speech rate is slow and deliberate, lending the delivery an authoritative and didactic tone. There are no strong emotional inflections; the speaker's affect is serious and assertive, suggesting confidence in his statements.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_169_B,videos/2Ait0WaCNCw_1920x1080_full_video_169.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_169.wav,"0,0,1,1"," you know, want it, seek sex, want sex, seek sex. They can go from people with spontaneous desire could be like scrolling through Instagram, somebody's sexy walks past.","The person in the video is frequently using various hand gestures while speaking. Her left hand starts from her chest, gradually lifting upwards towards the left and above, with the palm facing up and fingers slightly spread, as if emphasizing a point or explaining a concept. Then, her left hand moves downwards, with the palm facing down and fingers naturally curved, possibly indicating a summary or transition.

Next, her right hand begins from the right side of her body, gradually lifting upwards towards the right and above, with the palm facing up and fingers slightly spread, mirroring the gesture of the left hand. Following this, her right hand moves downwards, with the palm facing down and fingers naturally curved, coordinating with the left hand's movement, likely to further elaborate or emphasize a point.

Finally, both her hands move downwards simultaneously, with the palms facing down and fingers naturally curved, suggesting she may be concluding her speech or making a summarizing gesture. Throughout the process, her hand movements are smooth and coherent, demonstrating her confidence and enthusiasm in expressing her views. The person says, <S> you know, want it, seek sex, want sex, seek sex. They can go from people with spontaneous desire could be like scrolling through Instagram, somebody's sexy walks past.<E> <AUDCAP>A female speaker, likely middle-aged, delivers the lines at a normal pace with a Standard Southern British accent. Her voice sits in the medium pitch range and maintains a confident, even tone. The prosody is consistent with clear enunciation and moderate stress on key words, creating an informative cadence. The speaker's affect is neutral and instructional, lacking strong emotional inflection.<ENDAUDCAP>
"
29jY91PNdIM_1920x1080_full_video_022_B,videos/29jY91PNdIM_1920x1080_full_video_022.mp4,audios/29jY91PNdIM_1920x1080_full_video_022.wav,"0,0,1,1", They played in different eras.,"The person in the video is seated on a chair, slightly leaning to the left. His right hand is raised with fingers spread out, as if emphasizing a point or explaining something. Then, his hand moves downward, palm facing down, and his fingers slightly curled. Following this, his left hand is also raised, with fingers spread out, mirroring the movement of his right hand. Finally, his left hand is lowered, palm facing up, and his fingers naturally extended. Throughout the process, his head slightly turns, and his eyes look to one side, seemingly engaging in a conversation with someone else. The person says, <S> They played in different eras.<E> <AUDCAP>A male speaker with a low-pitched, resonant voice speaks in standard American English at a moderate, steady pace. His prosody is relatively flat with slight upward inflections for emphasis, particularly toward the end of phrases like ""in my opinion"" and ""you can see the A or B."" His tone is calm, assertive, and matter-of-fact. The speech is clear with minimal background noise, and the overall impression is one of considered, rational comparison.<ENDAUDCAP>
"
24DcxmIlMp0_1920x1080_full_video_013_A,videos/24DcxmIlMp0_1920x1080_full_video_013.mp4,audios/24DcxmIlMp0_1920x1080_full_video_013.wav,"0,0,1,1"," a rwy'n gweithio'n fawr arno, ac rwy'n gobeithio y bydd pobl yn cael cyfle i'w ddarllen.","The person in the video makes very delicate mouth movements while speaking. His right corner of the mouth slightly lifts, revealing a small portion of his teeth, as if emphasizing a point or expressing an emotion. At the same time, the muscles around his left eye contract slightly, possibly indicating blinking or adjusting his gaze. Throughout the process, his head remains relatively stable, with only minor movements around his lips and eyes. The person says, <S> a rwy'n gweithio'n fawr arno, ac rwy'n gobeithio y bydd pobl yn cael cyfle i'w ddarllen.<E> <AUDCAP>A male speaker, likely a young adult or middle-aged, speaks with a clear, standard British accent. His moderate-pitched voice is calm and steady. The prosody is even and measured, with distinct stress and natural intonation. He expresses a hopeful, earnest tone, and the speech rate is moderate and unhurried, conveying sincerity.<ENDAUDCAP>
"
2FEvLaApGz8_1920x1080_full_video_064_B,videos/2FEvLaApGz8_1920x1080_full_video_064.mp4,audios/2FEvLaApGz8_1920x1080_full_video_064.wav,"0,0,1,1"," brutish natural life is, or the state of natural life is brutish and short and miserable rather than some pre-industrial paradisal state where everyone lived in harmony.","The person in the video makes very delicate mouth movements while speaking. His left eye occasionally closes slightly, while his right eye remains open. When his mouth is open, you can see the outline of his teeth and his lips move gently. His head slightly turns to the left before returning to its original position. The person says, <S> brutish natural life is, or the state of natural life is brutish and short and miserable rather than some pre-industrial paradisal state where everyone lived in harmony.<E> <AUDCAP>The speaker is a middle-aged to older male with a standard American accent and medium pitch. His speech is delivered at a moderate pace with clear articulation. His prosody consists of a steady rhythm and moderate intonation, lending a calm and matter-of-fact tone to his delivery. The overall emotion conveyed is intellectual and declarative, as if presenting a factual statement or a philosophical concept.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_003_A,videos/2Ait0WaCNCw_1920x1080_full_video_003.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_003.wav,"0,0,1,1", I did six months of extensive research on...,"The person in the video makes very delicate mouth movements while speaking. His right corner of the mouth slightly rises, revealing a slight smile, while his left corner of the mouth is pulled downward, forming a slight curve. His chin is slightly lifted, exposing the stubble on his chin. His head turns to the right, and he looks towards the right side with a focused and deep gaze. He wears a small earring on his ear, which gently sways as he speaks. The person says, <S> I did six months of extensive research on...<E> <AUDCAP>The speaker is likely a young adult male with a standard British accent. His voice has a medium-low pitch and a relatively slow, deliberate speech rate. The prosody is fairly flat and even, with little melodic inflection or emotional excitement; his tone is neutral and informative. The delivery is measured and articulate, suggesting a focused, expository style, as if recounting facts or an experience.<ENDAUDCAP>
"
24hTFtYLXQY_1920x1080_full_video_066_A,videos/24hTFtYLXQY_1920x1080_full_video_066.mp4,audios/24hTFtYLXQY_1920x1080_full_video_066.wav,"0,0,1,1"," general rule, which is sort of why I'm explaining it in such elaborate detail right now. DHT derivatives are more or less targeted action on contractile tissue, which is why they are unusable underwater.","The person in the video raises their left hand, bending their arm, and holds the phone or camera with it, maintaining a relatively stable position. Subsequently, they raise their right hand, extending their arm, with fingers naturally spread out, seemingly adjusting the shooting angle or posture. Then, his right hand gradually lowers back to its initial position, and his arm returns to its original position. Throughout the process, his body remains relatively still, with only the hand movements being more noticeable. The person says, <S> general rule, which is sort of why I'm explaining it in such elaborate detail right now. DHT derivatives are more or less targeted action on contractile tissue, which is why they are unusable underwater.<E> <AUDCAP>A male speaker with a Mid-Atlantic accent delivers a fast-paced, information-dense explanation. His voice is medium-pitched and has a youthful quality, possibly indicating a speaker in his 20s. The prosody is consistent with frequent, sharp intonation for emphasis and clarity. The speaker's tone is neutral and focused, conveying an instructional purpose. The rapid, distinct speech suggests confidence and expertise, devoid of emotional inflection.<ENDAUDCAP>
"
23mV69Rij9Q_1920x1080_full_video_060_A,videos/23mV69Rij9Q_1920x1080_full_video_060.mp4,audios/23mV69Rij9Q_1920x1080_full_video_060.wav,"0,0,1,1", I know people who hate cardio so much that they would rather just eat like nothing and starve themselves. Which you know you could argue too that cardio is going to increase your metabolism.,"The person in the video slightly turns their head to the left while speaking, then returns to a straight-ahead position. His mouth is open as if he is talking or explaining something. He then turns his head back to the left and returns to a straight-ahead position again. Throughout the process, his head movements are slow and rhythmic. The person says, <S> I know people who hate cardio so much that they would rather just eat like nothing and starve themselves. Which you know you could argue too that cardio is going to increase your metabolism.<E> <AUDCAP>A male speaker with a clear, medium-pitched voice and a general American accent delivers his words at a moderate, conversational pace. His prosody is relatively level with natural intonation, conveying a calm and informative tone. The emotions expressed are neutral, without notable excitement or distress. The audio is clean with minimal background noise.<ENDAUDCAP>
"
2C62-RdooPc_1920x1080_full_video_029_A,videos/2C62-RdooPc_1920x1080_full_video_029.mp4,audios/2C62-RdooPc_1920x1080_full_video_029.wav,"0,0,1,1"," Well, no president can solve this. As Rich Lowry of National Review asked this week, and where does Trump go for his apology? The rise in Omicron, a relatively new virus.","The person in the video moves their mouth with great precision and continuity while speaking. She is wearing a gold earring on her left ear, but has no jewelry on her right ear. Her eyes occasionally blink, but overall she maintains focus. Her lips open and close at times, seemingly emphasizing certain words. Her head slightly shakes, indicating that she is actively engaging with the audience. The person says, <S> Well, no president can solve this. As Rich Lowry of National Review asked this week, and where does Trump go for his apology? The rise in Omicron, a relatively new virus.<E> <AUDCAP>A female speaker with a mid-to-high-pitched voice delivers her lines at a moderate pace with clear enunciation. Her accent suggests an American English speaker, and her prosody is characterized by a measured, analytical rhythm, with varied intonation used for emphasis. She conveys a tone that is serious and contemplative, bordering on cynical or world-weary, especially in the initial exhalation.<ENDAUDCAP>
"
26-RhL0R-Wg_1920x1080_full_video_008_A,videos/26-RhL0R-Wg_1920x1080_full_video_008.mp4,audios/26-RhL0R-Wg_1920x1080_full_video_008.wav,"0,0,1,1", your own dating history when it just sort of comes up with someone else's story.,"The person in the video initially has their hands naturally hanging down. Then, the left hand slowly raises, with the palm facing upward and fingers slightly spread, as if emphasizing a point or explaining something. Following this, the right hand also slowly raises, mirroring the left hand's gesture with the palm facing upward and fingers slightly spread. Next, both hands gradually spread out to the sides, still with palms facing upward and fingers slightly curved, as if demonstrating a concept or highlighting an important point. Finally, both hands slowly lower back to their initial position. Throughout the entire process, the movements are smooth and rhythmic, showing a confident and focused demeanor. The person says, <S> your own dating history when it just sort of comes up with someone else's story.<E> <AUDCAP>A female speaker, likely in her 30s or 40s, speaks in a conversational and empathetic tone. Her accent is General American, with clear pronunciation and a calm, moderate pace. Her pitch is mid-range, with a natural, gentle inflection that rises slightly at the end of phrases. The prosody is relaxed and flowing, matching her conversational style. The emotion conveyed is thoughtful and engaging, as if sharing a personal reflection in response to another's story.<ENDAUDCAP>
"
